country,demographic,coefficient,intercept,test_size,r_squared,latitude,longitude
Angola,Female 5-17,-457.1603889709502,943037.2192269815,0.01,0.0,-11.8775768,17.5691241
Angola,Female 18-59,-473.1361154446177,1003214.0093603744,0.01,0.0,-11.8775768,17.5691241
Angola,Female 60+,-20.988824101069,42420.71817298347,0.01,0.0,-11.8775768,17.5691241
Angola,Male 0-4,-230.4268292682926,471031.4146341463,0.01,0.0,-11.8775768,17.5691241
Angola,Male 5-17,-506.6155441678868,1043417.7052220595,0.01,0.0,-11.8775768,17.5691241
Angola,Male 18-59,-1364.1094436310398,2805130.113103953,0.01,0.0,-11.8775768,17.5691241
Angola,Male 60+,-45.13630283574103,97838.31902086674,0.01,0.0,-11.8775768,17.5691241
Anguilla,Female 0-4,0.0,0.0,0.01,1.0,18.1954947,-63.0750234
Anguilla,Female 5-17,-0.0,0.0,0.01,1.0,18.1954947,-63.0750234
Anguilla,Female 18-59,-0.0,0.0,0.01,1.0,18.1954947,-63.0750234
Anguilla,Female 60+,0.0,0.0,0.01,1.0,18.1954947,-63.0750234
Anguilla,Male 0-4,0.0,0.0,0.01,1.0,18.1954947,-63.0750234
Anguilla,Male 5-17,0.0,0.0,0.01,1.0,18.1954947,-63.0750234
Anguilla,Male 18-59,-0.4999999999999998,1008.4999999999997,0.01,0.0,18.1954947,-63.0750234
Anguilla,Male 60+,-0.0,0.0,0.01,1.0,18.1954947,-63.0750234
Antigua and Barbuda,Female 0-4,-0.0,0.0,0.01,1.0,17.2234721,-61.9554608
Antigua and Barbuda,Female 5-17,-0.0,0.0,0.01,1.0,17.2234721,-61.9554608
Antigua and Barbuda,Female 18-59,-0.0,0.0,0.01,1.0,17.2234721,-61.9554608
Antigua and Barbuda,Female 60+,-0.0,0.0,0.01,1.0,17.2234721,-61.9554608
Antigua and Barbuda,Male 0-4,0.0,0.0,0.01,1.0,17.2234721,-61.9554608
Antigua and Barbuda,Male 5-17,0.0,0.0,0.01,1.0,17.2234721,-61.9554608
Antigua and Barbuda,Male 18-59,-0.6153846153846154,1245.3076923076926,0.01,0.0,17.2234721,-61.9554608
Antigua and Barbuda,Male 60+,-0.0,0.0,0.01,1.0,17.2234721,-61.9554608
Argentina,Female 0-4,-1.2213506139154162,2482.0555934515687,0.01,0.0,-34.9964963,-64.9672817
Argentina,Female 5-17,3.462857142857143,-6797.908571428573,0.1724,0.7325549433577048,-34.9964963,-64.9672817
Argentina,Female 18-59,52.479760119940025,-104417.26836581707,0.184,0.708823776702665,-34.9964963,-64.9672817
Argentina,Female 60+,17.216019417475728,-34470.0995145631,0.2449,0.8210465211226599,-34.9964963,-64.9672817
Argentina,Male 0-4,-0.06951871657753983,176.33689839572136,0.1173,0.04327304978059998,-34.9964963,-64.9672817
Argentina,Male 5-17,5.64705882352941,-11151.294117647056,0.2913,0.5099730384742285,-34.9964963,-64.9672817
Argentina,Male 18-59,102.50539466212378,-203734.70244179442,0.0999,0.7677816772896782,-34.9964963,-64.9672817
Argentina,Male 60+,28.25248344370861,-56586.914735099344,0.1724,0.7049394641465927,-34.9964963,-64.9672817
Armenia,Female 0-4,-64.25,129330.75,0.01,0.0,40.7696272,44.6736646
Armenia,Female 5-17,-165.41117618350427,333105.118350415,0.01,0.0,40.7696272,44.6736646
Armenia,Female 18-59,-1058.5485602733042,2131776.0273304055,0.01,0.0,40.7696272,44.6736646
Armenia,Female 60+,-1188.7691278758693,2392597.386035313,0.01,0.0,40.7696272,44.6736646
Armenia,Male 0-4,-66.52693089430893,133936.7281504065,0.01,0.0,40.7696272,44.6736646
Armenia,Male 5-17,-161.16731669266778,324490.4040561624,0.01,0.0,40.7696272,44.6736646
Armenia,Male 18-59,-890.0458760370908,1792598.7720839425,0.01,0.0,40.7696272,44.6736646
Armenia,Male 60+,-907.086382113821,1825816.5619918697,0.01,0.0,40.7696272,44.6736646
Aruba,Female 0-4,1.083333333333333,-2180.7499999999995,0.0187,1.0,12.5013629,-69.9618475
Aruba,Female 5-17,2.6050724637681166,-5243.217391304349,0.01,0.0,12.5013629,-69.9618475
Aruba,Female 18-59,13.648550724637685,-27469.652173913048,0.01,0.0,12.5013629,-69.9618475
Aruba,Female 60+,0.75,-1509.75,0.0535,1.0,12.5013629,-69.9618475
Aruba,Male 0-4,0.6609589041095892,-1330.3116438356171,0.01,0.0,12.5013629,-69.9618475
Aruba,Male 5-17,2.938405797101449,-5914.217391304348,0.01,0.0,12.5013629,-69.9618475
Aruba,Male 18-59,14.923913043478262,-30038.706521739125,0.01,0.0,12.5013629,-69.9618475
Aruba,Male 60+,-0.0,0.0,0.01,1.0,12.5013629,-69.9618475
Australia,Female 0-4,-0.0,0.0,0.01,1.0,-24.7761086,134.755
Australia,Female 5-17,0.0,0.0,0.01,1.0,-24.7761086,134.755
Australia,Female 18-59,-0.0,0.0,0.01,1.0,-24.7761086,134.755
Australia,Female 60+,0.0,0.0,0.01,1.0,-24.7761086,134.755
Australia,Male 0-4,0.0,0.0,0.01,1.0,-24.7761086,134.755
Australia,Male 5-17,0.0,0.0,0.01,1.0,-24.7761086,134.755
Australia,Male 18-59,-0.0,0.0,0.01,1.0,-24.7761086,134.755
Australia,Male 60+,0.0,0.0,0.01,1.0,-24.7761086,134.755
Austria,Female 0-4,-0.0,0.0,0.01,1.0,47.2000338,13.199959
Austria,Female 5-17,0.0,0.0,0.01,1.0,47.2000338,13.199959
Austria,Female 18-59,0.0,0.0,0.01,1.0,47.2000338,13.199959
Austria,Female 60+,0.0,0.0,0.01,1.0,47.2000338,13.199959
Austria,Male 0-4,-0.0,0.0,0.01,1.0,47.2000338,13.199959
Austria,Male 5-17,-0.0,0.0,0.01,1.0,47.2000338,13.199959
Austria,Male 18-59,-0.0,0.0,0.01,1.0,47.2000338,13.199959
Austria,Male 60+,0.0,0.0,0.01,1.0,47.2000338,13.199959
Azerbaijan,Female 0-4,68.52830417881435,-135940.96465014573,0.01,0.0,40.3936294,47.7872508
Azerbaijan,Female 5-17,138.45667159035006,-273434.0428360423,0.01,0.0,40.3936294,47.7872508
Azerbaijan,Female 18-59,689.9387254901962,-1375195.546568628,0.01,0.0,40.3936294,47.7872508
Azerbaijan,Female 60+,163.14950980392157,-325717.8357843138,0.01,0.0,40.3936294,47.7872508
Azerbaijan,Male 0-4,55.19669786791461,-109152.3280031199,0.01,0.0,40.3936294,47.7872508
Azerbaijan,Male 5-17,95.13725490196077,-186591.29411764702,0.01,0.0,40.3936294,47.7872508
Azerbaijan,Male 18-59,514.3725949037962,-1022896.1383255331,0.01,0.0,40.3936294,47.7872508
Azerbaijan,Male 60+,92.16254990019962,-183176.14807884235,0.01,0.0,40.3936294,47.7872508
Bahamas,Female 0-4,-0.09189189189189194,185.2216216216217,0.2275,0.6280788897004784,24.7736546,-78.0000547
Bahamas,Female 5-17,-0.1714285714285715,345.8380952380955,0.2739,0.7925510204081871,24.7736546,-78.0000547
Bahamas,Female 18-59,-0.09016393442622947,188.5245901639344,0.15789999999999998,0.05454029681387873,24.7736546,-78.0000547
Bahamas,Female 60+,0.0,0.0,0.01,1.0,24.7736546,-78.0000547
Bahamas,Male 0-4,-0.031531531531531536,63.621621621621635,0.01,0.0,24.7736546,-78.0000547
Bahamas,Male 5-17,-0.6470588235294117,1304.843137254902,0.2362,0.8266532103037307,24.7736546,-78.0000547
Bahamas,Male 18-59,-1.2261904761904756,2494.535714285713,0.01,0.0,24.7736546,-78.0000547
Bahamas,Male 60+,0.1428571428571429,-286.4285714285716,0.1173,0.7959183673468692,24.7736546,-78.0000547
Bahrain,Female 0-4,1.0940890688259108,-2188.8903643724693,0.07959999999999999,0.9846283771961479,26.1551249,50.5344606
Bahrain,Female 5-17,3.0366093366093354,-6083.8783783783765,0.2507,0.9447110362270532,26.1551249,50.5344606
Bahrain,Female 18-59,7.047130855759647,-14110.042574398403,0.0564,0.9566022505834356,26.1551249,50.5344606
Bahrain,Female 60+,2.6127450980392166,-5240.004901960787,0.01,0.0,26.1551249,50.5344606
Bahrain,Male 0-4,1.4664673216574116,-2936.8201623237933,0.0564,0.937899295218621,26.1551249,50.5344606
Bahrain,Male 5-17,2.63789746917586,-5283.349772874756,0.1115,0.9914994278484469,26.1551249,50.5344606
Bahrain,Male 18-59,7.994446817599317,-16004.275950448531,0.07379999999999999,0.948413117147862,26.1551249,50.5344606
Bahrain,Male 60+,2.6712860310421296,-5355.9296008869205,0.07669999999999999,0.4643226997226195,26.1551249,50.5344606
Bangladesh,Female 0-4,1865.4897163888288,-3739045.381034856,0.2913,0.3369803279936417,24.4768783,90.2932426
Bangladesh,Female 5-17,3955.244136460553,-7932749.878997864,0.2942,0.3530416673820199,24.4768783,90.2932426
Bangladesh,Female 18-59,5329.52741020794,-10685402.992911153,0.2797,0.35537857665149064,24.4768783,90.2932426
Bangladesh,Female 60+,376.45575405068536,-754875.6381387619,0.242,0.3178536716681956,24.4768783,90.2932426
Bangladesh,Male 0-4,2051.791066282421,-4113855.064361192,0.2913,0.3401811318875386,24.4768783,90.2932426
Bangladesh,Male 5-17,3689.0064467197576,-7394029.260144102,0.2594,0.3246226397883776,24.4768783,90.2932426
Bangladesh,Male 18-59,4183.3540614961,-8389016.884809548,0.2565,0.32465881562038257,24.4768783,90.2932426
Bangladesh,Male 60+,308.7403623747109,-618996.3650732461,0.2739,0.3202027692510065,24.4768783,90.2932426
Barbados,Female 0-4,0.0,0.0,0.01,1.0,13.1500331,-59.5250305
Barbados,Female 5-17,0.0,0.0,0.01,1.0,13.1500331,-59.5250305
Barbados,Female 18-59,0.050847457627118633,-102.22033898305081,0.1811,0.1117494972709071,13.1500331,-59.5250305
Barbados,Female 60+,-0.0,0.0,0.01,1.0,13.1500331,-59.5250305
Barbados,Male 0-4,-0.0,0.0,0.01,1.0,13.1500331,-59.5250305
