country,demographic,coefficient,intercept,test_size,r_squared
Afghanistan,Female 0-4,8953.391608391606,-17871710.135664333,0.1289,0.8726899200616454
Afghanistan,Female 5-17,12459.730000000001,-24739187.060000002,0.06509999999999999,0.5703431552242846
Afghanistan,Female 18-59,1831.5842696629202,-3285693.6613162095,0.2101,0.01612961547108871
Afghanistan,Female 60+,-1130.9560810810806,2317319.0574324313,0.0564,0.7573013872805747
Afghanistan,Male 0-4,8964.967316153366,-17892259.31772471,0.08249999999999999,0.9029461171295554
Afghanistan,Male 5-17,11388.611497975708,-22564414.76696356,0.0564,0.4739876214217964
Afghanistan,Male 18-59,-3129.849087003223,6720126.052273542,0.1347,0.12254686410659354
Afghanistan,Male 60+,-137.9024390243903,323692.2195121952,0.01,0.0
Albania,Female 0-4,22.150773993808055,-44421.36130030961,0.0564,0.9155759169019088
Albania,Female 5-17,28.953554295682505,-58047.83013519405,0.2768,0.28155209432689177
Albania,Female 18-59,93.25738529226899,-186969.246071653,0.08249999999999999,0.9713965049725434
Albania,Female 60+,5.753378378378376,-11533.101351351348,0.07959999999999999,0.9947137033461084
Albania,Male 0-4,22.14483182306865,-44406.91368453386,0.09989999999999999,0.9227492842216894
Albania,Male 5-17,26.003246753246756,-52122.37012987014,0.2536,0.2696970013746033
Albania,Male 18-59,98.44996823379923,-197334.46283354508,0.1289,0.7205012636769599
Albania,Male 60+,9.148390342052322,-18345.205231388343,0.14629999999999999,0.5825659440954031
Algeria,Female 0-4,-268.6478743068393,541040.4621072091,0.2971,0.308942847983112
Algeria,Female 5-17,-556.3209853328315,1120525.5955246324,0.23909999999999998,0.37026105397842457
Algeria,Female 18-59,-805.8426834969614,1622850.0081813934,0.2739,0.3045094577332671
Algeria,Female 60+,-100.38299170326987,202128.42032698874,0.01,0.0
Algeria,Male 0-4,-246.18028846153854,496011.7644230771,0.2768,0.2711868884802495
Algeria,Male 5-17,-678.5829875518675,1366486.08713693,0.2362,0.37442826140525287
Algeria,Male 18-59,-719.243222700785,1450121.8978971362,0.2884,0.2683633607766617
Algeria,Male 60+,-101.53079947575358,204453.871559633,0.11149999999999999,0.3665880126013099
Angola,Female 0-4,-68.59100364014566,145532.90119604795,0.01,0.0
Angola,Female 5-17,-457.1603889709502,943037.2192269815,0.01,0.0
Angola,Female 18-59,-473.1361154446177,1003214.0093603743,0.01,0.0
Angola,Female 60+,-20.988824101068996,42420.71817298347,0.01,0.0
Angola,Male 0-4,-230.42682926829264,471031.41463414626,0.01,0.0
Angola,Male 5-17,-506.61554416788675,1043417.7052220595,0.01,0.0
Angola,Male 18-59,-1364.1094436310398,2805130.113103953,0.01,0.0
Angola,Male 60+,-45.13630283574102,97838.31902086674,0.01,0.0
Anguilla,Female 0-4,0.0,0.0,0.01,1.0
Anguilla,Female 5-17,-0.0,0.0,0.01,1.0
Anguilla,Female 18-59,-0.0,0.0,0.01,1.0
Anguilla,Female 60+,0.0,0.0,0.01,1.0
Anguilla,Male 0-4,0.0,0.0,0.01,1.0
Anguilla,Male 5-17,0.0,0.0,0.01,1.0
Anguilla,Male 18-59,-0.49999999999999983,1008.4999999999997,0.01,0.0
Anguilla,Male 60+,-0.0,0.0,0.01,1.0
Antigua and Barbuda,Female 0-4,-0.0,0.0,0.01,1.0
Antigua and Barbuda,Female 5-17,-0.0,0.0,0.01,1.0
Antigua and Barbuda,Female 18-59,-0.0,0.0,0.01,1.0
Antigua and Barbuda,Female 60+,-0.0,0.0,0.01,1.0
Antigua and Barbuda,Male 0-4,0.0,0.0,0.01,1.0
Antigua and Barbuda,Male 5-17,0.0,0.0,0.01,1.0
Antigua and Barbuda,Male 18-59,-0.6153846153846154,1245.3076923076924,0.01,0.0
Antigua and Barbuda,Male 60+,-0.0,0.0,0.01,1.0
Argentina,Female 0-4,-1.2213506139154162,2482.055593451569,0.01,0.0
Argentina,Female 5-17,3.462857142857144,-6797.908571428573,0.1724,0.7325549433577048
Argentina,Female 18-59,52.479760119940025,-104417.26836581709,0.184,0.708823776702665
Argentina,Female 60+,17.216019417475728,-34470.0995145631,0.2449,0.8210465211226599
Argentina,Male 0-4,-0.06951871657753983,176.33689839572136,0.11729999999999999,0.04327304978059998
Argentina,Male 5-17,5.64705882352941,-11151.294117647056,0.2913,0.5099730384742285
Argentina,Male 18-59,102.50539466212378,-203734.70244179442,0.09989999999999999,0.7677816772896782
Argentina,Male 60+,28.252483443708613,-56586.914735099344,0.1724,0.7049394641465927
Armenia,Female 0-4,-64.25,129330.74999999999,0.01,0.0
Armenia,Female 5-17,-165.41117618350424,333105.118350415,0.01,0.0
Armenia,Female 18-59,-1058.5485602733042,2131776.0273304055,0.01,0.0
Armenia,Female 60+,-1188.7691278758696,2392597.386035313,0.01,0.0
Armenia,Male 0-4,-66.52693089430893,133936.7281504065,0.01,0.0
Armenia,Male 5-17,-161.16731669266778,324490.4040561624,0.01,0.0
Armenia,Male 18-59,-890.0458760370908,1792598.7720839425,0.01,0.0
